0	18.678
0.1178346299052535	18.678
0.398020099688835	18.665
0.872624203241779	18.657
1.640386844491648	18.75
2.390804258358473	18.776
3.085606909858863	18.804
3.814352369941301	18.876
4.805999271798188	18.957
5.050537001251429	18.983
5.704984224356611	19.037
6.441789347926762	19.05
7.269722759924598	19.109
8.136102752322103	19.123
9.61498606382707	19.168
10.40557427512131	19.241
11.22030480877394	19.302
11.9603085245711	19.355
12.75323115928579	19.386
13.53733862314281	19.406
14.42834796501008	19.421
15.30443154767562	19.43
16.16808071505431	19.531
17.04718595552707	19.489
17.91916027658818	19.52
18.88160766472055	19.473
19.68003790632571	19.563
20.61020257054347	19.552
21.47983940811979	19.588
22.35409503911821	19.607
23.03877420807036	19.76
23.45739817240004	19.855
23.5671912840622	19.894
23.57695707674478	19.942
23.60557546450434	19.967
23.92163761151852	19.961
