1.046709677419354723e+00	1.752553469433247102e+01
2.352860215053763415e+00	1.753276898200038403e+01
3.515870967741934638e+00	1.755447184500411950e+01
5.448258064516128485e+00	1.761958043401532947e+01
6.414451612903224742e+00	1.761234614634742002e+01
7.988989247311826247e+00	1.750383183132873199e+01
9.885591397849461615e+00	1.746042610532126105e+01
1.122752688172042923e+01	1.746042610532126105e+01
1.260524731182795577e+01	1.709147743425772958e+01
1.441238709677419294e+01	1.700466598224278414e+01
1.600481720430107302e+01	1.697572883157113210e+01
1.763303225806451380e+01	1.685274594121662517e+01
1.895707526881720284e+01	1.669359161252255319e+01
2.037058064516129008e+01	1.661401444817551720e+01
