2.679196532192350132e+05	4.178501599774565082e+06	1.204768833980592262e+03
2.679232679999694228e+05	4.178514155162747018e+06	1.204083927662981750e+03
2.679227632810591022e+05	4.178528170234995894e+06	1.203262040081848909e+03
2.679233587678280892e+05	4.178534597422039136e+06	1.203262040081848909e+03
2.679171435371185071e+05	4.178545047124178149e+06	1.202645624395999221e+03
2.679139035663095419e+05	4.178552137446323875e+06	1.202919586923043425e+03
2.679124495446055080e+05	4.178558080932604149e+06	1.202919586923043425e+03
2.679081000079848454e+05	4.178565116469821893e+06	1.202234680605432686e+03
2.679021448343462544e+05	4.178577020395707339e+06	1.202234680605432686e+03
2.678993182914996869e+05	4.178592886320152786e+06	1.202371661868955016e+03
2.678921847141603939e+05	4.178606714324316941e+06	1.203193549450087858e+03
2.678872661115052179e+05	4.178617533944583032e+06	1.202782605659521323e+03
2.678819437335937982e+05	4.178641128183995839e+06	1.204083927662981750e+03
2.678863111226432375e+05	4.178662485132363159e+06	1.204357890190025955e+03
2.678886353400165099e+05	4.178682161112502217e+06	1.204563362085309109e+03
2.678790694985710434e+05	4.178698553267069161e+06	1.206892043565185531e+03
2.678675352705903933e+05	4.178726043336448725e+06	1.206138646615813741e+03
2.678553195618328755e+05	4.178747046269729268e+06	1.208261856200406783e+03
2.678357497439658036e+05	4.178771902992042713e+06	1.213193181687203833e+03
2.679296532192350132e+05	4.178501599774565082e+06	1.204768833980592262e+03
2.679332679999694228e+05	4.178514155162747018e+06	1.204083927662981750e+03
2.679327632810591022e+05	4.178528170234995894e+06	1.203262040081848909e+03
2.679333587678280892e+05	4.178534597422039136e+06	1.203262040081848909e+03
2.679271435371185071e+05	4.178545047124178149e+06	1.202645624395999221e+03
2.679239035663095419e+05	4.178552137446323875e+06	1.202919586923043425e+03
2.679224495446055080e+05	4.178558080932604149e+06	1.202919586923043425e+03
2.679181000079848454e+05	4.178565116469821893e+06	1.202234680605432686e+03
2.679121448343462544e+05	4.178577020395707339e+06	1.202234680605432686e+03
2.678893182914996869e+05	4.178592886320152786e+06	1.202371661868955016e+03
2.678821847141603939e+05	4.178606714324316941e+06	1.203193549450087858e+03
2.678972661115052179e+05	4.178617533944583032e+06	1.202782605659521323e+03
2.678919437335937982e+05	4.178641128183995839e+06	1.204083927662981750e+03
2.678963111226432375e+05	4.178662485132363159e+06	1.204357890190025955e+03
2.678986353400165099e+05	4.178682161112502217e+06	1.204563362085309109e+03
2.678890694985710434e+05	4.178698553267069161e+06	1.206892043565185531e+03
2.678775352705903933e+05	4.178726043336448725e+06	1.206138646615813741e+03
2.678653195618328755e+05	4.178747046269729268e+06	1.208261856200406783e+03
2.678457497439658036e+05	4.178771902992042713e+06	1.213193181687203833e+03
